category,agency,sub_agency,funding_type,description,expiration,total_funding_b,cfda,program_name,ffy,recipient_name,amount,amount_type,funding_agency,funding_sub_agency
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,176000,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,127571.3,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,850080,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,1996973.3,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,29332244.5,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,143829.17,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,2254842,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,2164725,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,109200,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,1202000,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,1007730,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,1072756.34,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,633780,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,922886.55,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,6357034.4,Award,NA,NA
Transit,Department of Transportation,FTA,Earmarks,Specific projects authorized through legislation,Available until expended,TBD,EM,Transit Infrastructure Grants - Congresionally Directed Spending,2022,Chicago Transit Authority,2100000,Award,NA,NA
Transit,Department of Transportation,FTA,Earmarks,Specific projects authorized through legislation,Available until expended,TBD,EM,Transit Infrastructure Grants - Congresionally Directed Spending,2022,Chicago Transit Authority,2000000,Award,NA,NA
Transit,Department of Transportation,FTA,Earmarks,Specific projects authorized through legislation,Available until expended,TBD,EM,Transit Infrastructure Grants - Congresionally Directed Spending,2022,Illinois - Chicago Area,8250000,Award,NA,NA
Transit,Department of Transportation,FTA,Formula,Makes federal resources available to urbanized areas and to governors for transit capital and operating assistance in urbanized areas and for transportation-related planning.,Permanent program,33.139000000000003,20.507000000000001,Urbanized Area Formula Grants (5307 + 5340),2022,Chicago Transit Authority,167175481,Award,NA,NA
Transit,Department of Transportation,FTA,Formula,Makes federal resources available to urbanized areas and to governors for transit capital and operating assistance in urbanized areas and for transportation-related planning.,Permanent program,33.139000000000003,20.507000000000001,Urbanized Area Formula Grants (5307 + 5340),2022,Metra,104598498,Award,NA,NA
Transit,NA,NA,Formula,Makes federal resources available to urbanized areas and to governors for transit capital and operating assistance in urbanized areas and for transportation-related planning.,Permanent program,33.139000000000003,20.507000000000001,Urbanized Area Formula Grants (5307 + 5340),2023,Chicago Area Transit Authorities,315230739,Allocation,Department of Transportation,FTA
"Roads, Bridges, and Major Projects",NA,NA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2023,Illinois - Entire State,1019504733,Allocation,Department of Transportation,FHWA
"Roads, Bridges, and Major Projects",NA,NA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2023,Illinois - Entire State,495975275,Allocation,Department of Transportation,FHWA
"Roads, Bridges, and Major Projects",NA,NA,Formula,"Flexible state funding; To achieve a significant reduction in traffic fatalities and serious injuries on all public roads, including non-State-owned public roads and roads on tribal land.",NA,15.56,20.204999999999998,Highway Safety Improvement Program,2023,Illinois - Entire State,104245906,Allocation,Department of Transportation,FHWA
"Roads, Bridges, and Major Projects",NA,NA,Formula,Flexible funding source to State and local governments for transportation projects and programs to help meet the requirements of the Clean Air Act.,4 years,13.2,20.204999999999998,Congestion Mitigation and Air Quality Improvement Program,2023,Illinois - Entire State,122356739,Allocation,Department of Transportation,FHWA
"Roads, Bridges, and Major Projects",NA,NA,Formula,"To help make surface transportation more resilient to natural hazards, including climate change, sea level rise, flooding, extreme weather events, and other natural disasters through support of planning activities, resilience improvements, community resilience and evacuation routes, and at-risk costal infrastructure.",5 years,7.3,20.204999999999998,"PROTECT (Promoting Resilient Operations for Transformative, Efficient, and Cost Saving Transportation) Formula Program",2023,Illinois - Entire State,50286382,Allocation,Department of Transportation,FHWA
"Roads, Bridges, and Major Projects",NA,NA,Formula,To improve the efficient movement of freight on the National Highway Freight Network (NHFN),Permanent program,7.15,20.204999999999998,National Highway Freight Program,2023,Illinois - Entire State,50292860,Allocation,Department of Transportation,FHWA
"Roads, Bridges, and Major Projects",NA,NA,Formula,Projects designed to reduce transportation emissions,Permanent program,6.41,20.204999999999998,Carbon Reduction (Section 175),2023,Illinois - Entire State,44224462,Allocation,Department of Transportation,FHWA
"Roads, Bridges, and Major Projects",NA,NA,Formula,"Program to establish a cooperative, continuous, and comprehensive framework for making transportation investment decisions in metropolitan areas",Permanent program,2.2799999999999998,20.204999999999998,Metropolitan Planning (FAST Act - FHWA),2023,Illinois - Entire State,22959914,Allocation,Department of Transportation,FHWA
"Roads, Bridges, and Major Projects",NA,NA,Formula,"Funds for safety improvements to reduce the number of fatalities, injuries, and crashes at public railway-highway grade crossings.",Permanent program,1.23,20.204999999999998,Railway-Highway Crossing Program,2023,Illinois - Entire State,11358649,Allocation,Department of Transportation,FHWA
"Roads, Bridges, and Major Projects",NA,NA,Formula,"The BFP will provide funds to states by formula for bridge replacement, rehabilitation, preservation, protection, or construction projects on public roads. This program includes three set-asides: 15 percent for use on off-system bridges, 3 percent will be set-aside for use on Tribal Transportation Facility bridges, and 0.5 percent will be set-asidde for administrative expenses of the Federal Highway Administration.",4 years,5.5,20.204999999999998,Bridge Investment Program Formula Grants,2023,Illinois - Entire State,297268565,Allocation,Department of Transportation,FHWA
Electric Vehicles,NA,NA,Formula,"Strategically deploy electric vehicle charging infrastructure and establish an interconnected network to facilitate data collection, access, and reliability. Sets aside 10 percent of funding for discretionary grants to State and local governments that require additional assistance to strategically deploy electric vehicle charging infrastructure",Available until expended,5,20.204999999999998,National Electric Vehicle Infrastructure Formula Program,2023,Illinois - Entire State,31655626,Allocation,Department of Transportation,FHWA
Airports,NA,NA,Formula,"The money can be invested in runways, taxiways, safety and sustainability projects, as well as terminal, airport-transit connections and roadway projects.",5 years,15,20.106000000000002,Airport Infrastructure Grants,2023,Chicago O'hare International - Ord,73376190,Allocation,Department of Transportation,FAA
Airports,NA,NA,Formula,"The money can be invested in runways, taxiways, safety and sustainability projects, as well as terminal, airport-transit connections and roadway projects.",5 years,15,20.106000000000002,Airport Infrastructure Grants,2023,Chicago Midway International - Mdw,20167165,Allocation,Department of Transportation,FAA
Airports,NA,NA,Formula,"The money can be invested in runways, taxiways, safety and sustainability projects, as well as terminal, airport-transit connections and roadway projects.",5 years,15,20.106000000000002,Airport Infrastructure Grants,2023,Lansing Municipal - Igq,145000,Allocation,Department of Transportation,FAA
